Value Set,Change,Code System,Code,Revised
Pregnancy,Deleted,SNOMED CT US Edition,237244005,
Pregnancy,Deleted,SNOMED CT US Edition,248994003,
Pregnancy,Deleted,SNOMED CT US Edition,248997005,
Pregnancy,Deleted,SNOMED CT US Edition,289204008,
Pregnancy,Deleted,SNOMED CT US Edition,289450008,
Pregnancy,Deleted,SNOMED CT US Edition,289459009,
Pregnancy,Deleted,SNOMED CT US Edition,289460004,
Pregnancy,Deleted,SNOMED CT US Edition,289461000,
Pregnancy,Deleted,SNOMED CT US Edition,10812081000119108,
Pregnancy,Deleted,SNOMED CT US Edition,16819301000119102,
Pregnancy Diagnosis,Deleted,ICD10CM,O35.0XX0,
Pregnancy Diagnosis,Deleted,ICD10CM,O35.0XX1,
Pregnancy Diagnosis,Deleted,ICD10CM,O35.0XX2,
Pregnancy Diagnosis,Deleted,ICD10CM,O35.0XX3,
Pregnancy Diagnosis,Deleted,ICD10CM,O35.0XX4,
Pregnancy Diagnosis,Deleted,ICD10CM,O35.0XX5,
Pregnancy Diagnosis,Deleted,ICD10CM,O35.0XX9,
Pregnancy Diagnosis,Deleted,ICD10CM,O35.1XX0,
Pregnancy Diagnosis,Deleted,ICD10CM,O35.1XX1,
Pregnancy Diagnosis,Deleted,ICD10CM,O35.1XX2,
Pregnancy Diagnosis,Deleted,ICD10CM,O35.1XX3,
Pregnancy Diagnosis,Deleted,ICD10CM,O35.1XX4,
Pregnancy Diagnosis,Deleted,ICD10CM,O35.1XX5,
Pregnancy Diagnosis,Deleted,ICD10CM,O35.1XX9,
Prenatal Visits,Added,CPT,98000,2025-03-31
Prenatal Visits,Added,CPT,98001,2025-03-31
Prenatal Visits,Added,CPT,98002,2025-03-31
Prenatal Visits,Added,CPT,98003,2025-03-31
Prenatal Visits,Added,CPT,98004,2025-03-31
Prenatal Visits,Added,CPT,98005,2025-03-31
Prenatal Visits,Added,CPT,98006,2025-03-31
Prenatal Visits,Added,CPT,98007,2025-03-31
Prenatal Visits,Added,CPT,98008,2025-03-31
Prenatal Visits,Added,CPT,98009,2025-03-31
Prenatal Visits,Added,CPT,98010,2025-03-31
Prenatal Visits,Added,CPT,98011,2025-03-31
Prenatal Visits,Added,CPT,98012,2025-03-31
Prenatal Visits,Added,CPT,98013,2025-03-31
Prenatal Visits,Added,CPT,98014,2025-03-31
Prenatal Visits,Added,CPT,98015,2025-03-31
Prenatal Visits,Added,CPT,98016,2025-03-31
Prenatal Visits,Deleted,CPT,99241,
Procedure History That May Warrant Imaging,Added,HCPCS,Q5136,2025-03-31
Procedure History That May Warrant Imaging,Added,SNOMED CT US Edition,2564002,2025-03-31
Procedure History That May Warrant Imaging,Added,SNOMED CT US Edition,9548006,2025-03-31
Procedure History That May Warrant Imaging,Added,SNOMED CT US Edition,265711005,2025-03-31
Procedure History That May Warrant Imaging,Added,SNOMED CT US Edition,288031008,2025-03-31
Procedure History That May Warrant Imaging,Added,SNOMED CT US Edition,288093008,2025-03-31
Procedures Indicating Sexual Activity,Added,SNOMED CT US Edition,185642003,2025-03-31
Procedures Indicating Sexual Activity,Added,SNOMED CT US Edition,315094009,2025-03-31
Procedures Indicating Sexual Activity,Deleted,HCPCS,Q0091,2025-03-31
Procedures Indicating Sexual Activity,Deleted,SNOMED CT US Edition,432218001,2025-03-31
Psychiatry,Added,SNOMED CT US Edition,302683009,
Psychiatry,Added,SNOMED CT US Edition,302748001,
Psychiatry,Deleted,CPT,90785,2025-03-31
Psychiatry,Deleted,SNOMED CT US Edition,183411001,2025-03-31
Psychosis,Added,SNOMED CT US Edition,1304290003,2025-03-31
Psychosis,Deleted,SNOMED CT US Edition,42344001,
Psychosis,Deleted,SNOMED CT US Edition,786120041000132108,
Psychosocial Care,Added,SNOMED CT US Edition,302683009,
Psychosocial Care,Added,SNOMED CT US Edition,303262000,
Psychosocial Care,Added,SNOMED CT US Edition,1300121009,
Recent Diagnoses That May Warrant Imaging,Added,SNOMED CT US Edition,191865004,2025-03-31
Recent Diagnoses That May Warrant Imaging,Added,SNOMED CT US Edition,191867007,2025-03-31
Recent Diagnoses That May Warrant Imaging,Added,SNOMED CT US Edition,191868002,2025-03-31
Recent Diagnoses That May Warrant Imaging,Added,SNOMED CT US Edition,191869005,2025-03-31
Recent Diagnoses That May Warrant Imaging,Added,SNOMED CT US Edition,1304039005,2025-03-31
Recent Diagnoses That May Warrant Imaging,Added,SNOMED CT US Edition,1304040007,2025-03-31
Recent Diagnoses That May Warrant Imaging,Added,SNOMED CT US Edition,1304290003,2025-03-31
Recent Diagnoses That May Warrant Imaging,Added,SNOMED CT US Edition,1304291004,2025-03-31
Recent Injuries That May Warrant Imaging,Added,SNOMED CT US Edition,8183009,2025-03-31
Recent Injuries That May Warrant Imaging,Added,SNOMED CT US Edition,9015001,2025-03-31
Recent Injuries That May Warrant Imaging,Added,SNOMED CT US Edition,13695006,2025-03-31
Recent Injuries That May Warrant Imaging,Added,SNOMED CT US Edition,16319002,2025-03-31
Recent Injuries That May Warrant Imaging,Added,SNOMED CT US Edition,17169009,2025-03-31
Recent Injuries That May Warrant Imaging,Added,SNOMED CT US Edition,17498002,2025-03-31
Recent Injuries That May Warrant Imaging,Added,SNOMED CT US Edition,20899000,2025-03-31
Recent Injuries That May Warrant Imaging,Added,SNOMED CT US Edition,29807001,2025-03-31
